;papel;pl;lpa;pvp;vpa;Cluster
0;AALR3;52.47;0.32;1.67;10.19;0
1;ABCB4;6.52;2.53;0.8;20.65;0
2;ABEV3;14.76;1.01;2.7;5.51;0
3;ADHM3;-4.09;-0.38;-1.29;-1.21;8
4;AERI3;67.19;0.09;4.41;1.33;6
5;AESB3;12.23;0.91;2.45;4.52;0
6;AFLT3;27.58;0.31;3.04;2.83;0
7;AGRO3;4.44;6.74;1.25;23.95;0
8;AGXY3;22.32;0.53;1.49;7.99;0
9;AHEB3;-3.88;-7.08;-4.89;-5.63;8
10;ALLD3;3.85;3.65;0.86;16.34;0
11;ALPA3;20.17;1.17;4.1;5.77;6
12;ALPA4;23.1;1.17;4.69;5.77;6
13;ALPK3;-5.06;-0.91;1.9;2.41;0
14;ALSO3;35.32;0.62;0.87;25.19;0
15;ALUP11;5.24;4.8;1.11;22.54;0
16;ALUP3;5.27;1.6;1.12;7.51;0
17;ALUP4;5.09;1.6;1.08;7.51;0
18;AMAR3;-8.35;-0.37;0.87;3.56;0
19;AMBP3;30.87;1.2;3.55;10.42;6
20;ANIM3;89.85;0.09;1.23;6.38;0
21;APER3;-3193.96;-0.01;1.74;19.28;7
22;ARML3;0.0;0.0;6.4;3.21;6
23;ARZZ3;28.91;2.89;5.93;14.09;6
24;ASAI3;9.39;1.31;6.92;1.78;6
25;ATMP3;-0.68;-3.83;0.36;7.2;8
26;ATOM3;8.38;0.37;3.59;0.85;6
27;AURA33;11.74;4.39;2.43;21.22;0
28;AVLL3;-1.31;-22.83;4.97;6.04;6
29;AZEV3;2.18;1.72;4.57;0.82;6
30;AZEV4;1.72;1.72;3.6;0.82;6
31;AZUL4;-2.25;-11.96;-0.52;-51.86;8
32;B3SA3;18.06;0.77;3.78;3.69;6
33;BAHI3;-6.39;-2.46;1.8;8.72;0
34;BALM3;18.71;0.77;1.18;12.21;0
35;BALM4;14.81;0.77;0.93;12.21;0
36;BAUH4;22.41;3.74;4.44;18.87;6
37;BAZA3;2.16;19.09;0.43;96.39;0
38;BBAS3;5.5;6.07;0.7;47.72;0
39;BBDC3;7.76;2.26;1.16;15.14;0
40;BBDC4;9.36;2.26;1.4;15.14;0
41;BBRK3;-0.67;-1.6;2.03;0.53;0
42;BBSE3;11.57;1.97;6.25;3.64;6
43;BDLL3;-0.47;-23.93;-0.1;-116.78;8
44;BDLL4;-0.41;-23.93;-0.08;-116.78;8
45;BEEF3;10.79;0.93;12.57;0.8;6
46;BEES3;6.65;0.75;0.86;5.82;0
47;BEES4;7.55;0.75;0.97;5.82;0
48;BGIP3;5.32;6.04;0.88;36.44;0
49;BGIP4;3.85;6.04;0.64;36.44;0
50;BIDI11;393.69;0.06;2.47;9.93;0
51;BIDI3;396.9;0.02;2.49;3.31;0
52;BIDI4;388.7;0.02;2.43;3.31;0
53;BIOM3;-13.96;-1.01;7.3;1.93;6
54;BKBR3;-4.07;-1.43;1.04;5.62;0
55;BLAU3;16.0;1.97;3.43;9.2;6
56;BMEB3;6.85;1.81;1.17;10.62;0
57;BMEB4;5.62;1.81;0.96;10.62;0
58;BMGB4;6.48;0.46;0.45;6.73;0
59;BMIN3;25.39;0.79;0.76;26.16;0
60;BMIN4;22.98;0.79;0.69;26.16;0
61;BMKS3;25.95;9.05;0.56;418.61;0
62;BMOB3;19.88;0.74;1.31;11.24;0
63;BNBR3;4.71;14.86;0.85;82.52;0
64;BOAS3;19.47;0.27;1.38;3.77;0
65;BOBR4;3.13;0.49;-3.45;-0.44;8
66;BPAC11;12.3;1.88;2.45;9.45;0
67;BPAC3;22.24;0.63;4.43;3.15;6
68;BPAC5;7.28;0.63;1.45;3.15;0
69;BPAN4;15.48;0.64;2.07;4.81;0
70;BRAP3;2.01;13.85;0.75;37.01;0
71;BRAP4;2.26;13.85;0.84;37.01;0
72;BRBI11;14.18;1.32;2.56;7.31;0
73;BRFS3;37.55;0.5;2.01;9.35;0
74;BRGE11;22.67;0.31;0.41;16.94;0
75;BRGE12;22.57;0.31;0.41;16.94;0
76;BRGE3;21.5;0.31;0.39;16.94;0
77;BRGE5;33.66;0.31;0.61;16.94;0
78;BRGE6;29.1;0.31;0.53;16.94;0
79;BRGE8;29.72;0.31;0.54;16.94;0
80;BRIT3;0.0;0.0;1.34;2.99;0
81;BRIV3;9.31;0.86;0.45;17.71;0
82;BRKM3;2.78;17.94;3.12;16.01;0
83;BRKM5;2.97;17.94;3.32;16.01;0
84;BRKM6;1.67;17.94;1.87;16.01;0
85;BRML3;38.73;0.24;0.72;12.94;0
86;BRPR3;14.28;0.5;0.47;15.09;0
87;BRSR3;5.19;2.28;0.55;21.39;0
88;BRSR5;7.95;2.28;0.85;21.39;0
89;BRSR6;4.54;2.28;0.48;21.39;0
90;BSLI3;19.29;1.53;4.69;6.29;6
91;BSLI4;15.04;1.53;3.66;6.29;6
92;CAMB3;13.4;0.33;1.74;2.51;0
93;CAML3;7.97;1.14;1.17;7.76;0
94;CARD3;9.75;1.38;1.76;7.66;0
95;CASH3;-462.98;-0.01;3.11;0.89;0
96;CBAV3;0.0;0.0;3.07;6.45;0
97;CBEE3;145.15;0.16;1.06;21.76;0
98;CCRO3;33.38;0.37;2.95;4.22;0
99;CEAB3;6.24;0.92;0.62;9.22;0
100;CEBR3;0.67;22.03;0.56;26.41;0
101;CEBR5;0.66;22.03;0.55;26.41;0
102;CEBR6;0.64;22.03;0.54;26.41;0
103;CEDO3;5.87;1.19;0.51;13.87;0
104;CEDO4;4.52;1.19;0.39;13.87;0
105;CEEB3;5.25;6.52;1.41;24.27;0
106;CEED3;-3.61;-13.59;-1.09;-44.94;8
107;CEED4;-4.11;-13.59;-1.24;-44.94;8
108;CEGR3;36.73;1.58;11.93;4.86;6
109;CEPE5;4.32;5.79;0.99;25.33;0
110;CEPE6;4.49;5.79;1.03;25.33;0
111;CESP3;3.57;6.38;1.0;22.86;0
112;CESP5;4.09;6.38;1.14;22.86;0
113;CESP6;3.63;6.38;1.01;22.86;0
114;CGAS3;8.1;15.3;7.73;16.03;6
115;CGAS5;7.65;15.3;7.3;16.03;6
116;CGRA3;3.97;9.58;0.96;39.77;0
117;CGRA4;4.05;9.58;0.98;39.77;0
118;CIEL3;6.49;0.36;0.64;3.64;0
119;CLSA3;0.0;0.0;2.37;4.18;0
120;CLSC3;2.62;23.53;0.97;63.76;0
121;CLSC4;2.78;23.53;1.03;63.76;0
122;CMIG3;7.02;2.43;1.43;11.97;0
123;CMIG4;5.24;2.43;1.07;11.97;0
124;CMIN3;5.26;1.25;2.59;2.55;0
125;COCE3;9.81;6.01;1.32;44.78;0
126;COCE5;9.55;6.01;1.28;44.78;0
127;COGN3;-0.96;-2.44;0.34;6.76;8
128;CORR4;-0.33;-248.31;-7.91;-10.37;4
129;CPFE3;7.52;3.84;2.25;12.81;0
130;CPLE3;3.04;2.07;0.8;7.88;0
131;CPLE6;3.52;2.07;0.92;7.88;0
132;CRDE3;-2.23;-7.38;0.39;42.32;8
133;CRFB3;10.8;1.54;1.95;8.52;0
134;CRIV3;8.0;0.64;0.52;9.94;0
135;CRIV4;8.93;0.64;0.58;9.94;0
136;CRPG3;7.62;9.94;2.53;29.99;0
137;CRPG5;5.57;9.94;1.85;29.99;0
138;CRPG6;5.85;9.94;1.94;29.99;0
139;CSAB3;15.05;4.32;2.76;23.58;0
140;CSAB4;11.58;4.32;2.12;23.58;0
141;CSAN3;7.64;2.92;2.95;7.56;0
142;CSED3;26.48;0.22;1.56;3.79;0
143;CSMG3;6.91;1.95;0.77;17.5;0
144;CSNA3;2.56;10.87;1.91;14.55;0
145;CSRN3;5.31;2.9;1.74;8.82;0
146;CSRN5;5.27;2.9;1.73;8.82;0
147;CSRN6;5.56;2.9;1.82;8.82;0
148;CTKA3;3.22;8.54;-1.16;-23.73;8
149;CTKA4;1.28;8.54;-0.46;-23.73;8
150;CTNM3;-4.38;-1.91;0.32;26.32;8
151;CTNM4;-1.82;-1.91;0.13;26.32;8
152;CTSA3;7.53;0.31;0.8;2.88;0
153;CTSA4;4.13;0.31;0.44;2.88;0
154;CURY3;8.34;0.9;3.62;2.09;6
155;CVCB3;49.62;0.27;5.71;2.31;6
156;CXSE3;15.42;0.6;2.57;3.6;0
157;CYRE3;6.62;2.4;1.02;15.51;0
158;DASA3;-398.29;-0.06;1.95;13.23;0
159;DESK3;0.0;0.0;1.6;9.99;0
160;DIRR3;12.58;1.04;1.61;8.1;0
161;DMMO3;3.37;0.26;-0.66;-1.36;8
162;DMVF3;39.69;0.1;0.24;16.27;8
163;DOHL3;10.58;1.8;2.05;9.28;0
164;DOHL4;3.33;1.8;0.64;9.28;0
165;DOTZ3;0.0;0.0;-7.0;-0.39;8
166;DTCY3;-16.49;-0.4;46.86;0.14;2
167;EALT3;8.46;1.31;1.28;8.64;0
168;EALT4;5.22;1.31;0.79;8.64;0
169;ECOR3;-18.07;-0.39;2.33;3.03;0
170;EEEL3;8.79;45.52;2.03;197.4;0
171;EEEL4;8.76;45.52;2.02;197.4;0
172;EGIE3;13.14;3.08;4.19;9.66;6
173;EKTR3;10.18;3.93;2.68;14.94;0
174;EKTR4;6.84;3.93;1.8;14.94;0
175;ELET3;8.14;4.09;0.69;48.52;0
176;ELET5;15.76;4.09;1.33;48.52;0
177;ELET6;8.07;4.09;0.68;48.52;0
178;ELMD3;-59.21;-0.27;2.98;5.4;0
179;EMAE4;8.04;6.72;2.47;21.84;0
180;EMBR3;-48.04;-0.4;0.96;19.83;0
181;ENAT3;5.51;2.98;1.26;13.04;0
182;ENBR3;5.7;3.53;1.06;18.92;0
183;ENEV3;12.39;1.08;1.98;6.77;0
184;ENGI11;6.39;6.71;1.78;24.11;0
185;ENGI3;10.47;1.34;2.91;4.82;0
186;ENGI4;5.34;1.34;1.49;4.82;0
187;ENJU3;-5.75;-0.53;1.33;2.28;0
188;ENMT3;15.45;5.27;6.4;12.73;6
189;ENMT4;15.52;5.27;6.42;12.73;6
190;EQMA3B;7.91;5.14;2.14;19.0;0
191;EQPA3;13.19;0.43;3.44;1.63;6
192;EQPA5;17.16;0.43;4.47;1.63;6
193;EQPA7;15.56;0.43;4.05;1.63;6
194;EQTL3;7.31;3.26;2.25;10.58;0
195;ESPA3;4.56;1.12;1.81;2.83;0
196;ESTR4;-2.81;-23.94;-0.11;-625.57;5
197;ETER3;3.14;5.46;1.96;8.76;0
198;EUCA3;4.08;3.47;0.73;19.25;0
199;EUCA4;2.61;3.47;0.47;19.25;0
200;EVEN3;13.95;0.47;0.78;8.45;0
201;EZTC3;8.39;2.19;0.95;19.34;0
202;FESA3;9.95;5.02;2.02;24.75;0
203;FESA4;9.06;5.02;1.84;24.75;0
204;FHER3;2.7;5.28;8.49;1.68;6
205;FIQE3;0.0;0.0;2.12;2.72;0
206;FLRY3;13.85;1.32;3.2;5.71;0
207;FRAS3;9.15;1.46;2.65;5.04;0
208;FRIO3;-11.97;-4.22;-1.84;-27.43;8
209;FRTA3;-65.37;-0.07;-0.15;-31.53;8
210;GEPA3;6.12;5.13;1.55;20.22;0
211;GEPA4;6.54;5.13;1.66;20.22;0
212;GFSA3;11.13;0.18;0.39;5.23;0
213;GGBR3;2.98;7.56;0.94;23.89;0
214;GGBR4;3.72;7.56;1.18;23.89;0
215;GGPS3;0.0;0.0;4.75;3.25;6
216;GMAT3;16.6;0.34;2.01;2.81;0
217;GNDI3;-3584.82;-0.02;5.84;11.47;7
218;GOAU3;2.77;3.76;0.75;13.81;0
219;GOAU4;3.09;3.76;0.84;13.81;0
220;GOLL4;-1.6;-11.09;-0.38;-46.14;8
221;GPIV33;0.73;6.74;0.28;17.91;0
222;GRND3;11.06;0.75;1.84;4.52;0
223;GSHP3;-0.85;-32.95;-0.08;-336.57;8
224;GUAR3;11.64;1.03;1.16;10.34;0
225;HAGA3;10.2;0.84;-1.54;-5.57;8
226;HAGA4;2.32;0.84;-0.35;-5.57;8
227;HAPV3;118.93;0.1;4.36;2.73;6
228;HBOR3;4.88;0.79;0.39;10.0;0
229;HBRE3;-15.82;-0.54;0.5;17.13;0
230;HBSA3;-18.71;-0.15;1.51;1.88;0
231;HBTS5;1.67;25.15;0.73;57.25;0
232;HETA4;-0.02;-342.66;-0.01;-1092.94;4
233;HOOT4;-1.11;-2.53;-0.11;-25.39;8
234;HYPE3;15.1;2.04;2.02;15.28;0
235;IFCM3;0.0;0.0;4.53;3.31;6
236;IGBR3;-0.5;-73.56;-0.05;-820.8;5
237;INEP3;-0.68;-2.04;-0.09;-14.71;8
238;INEP4;-0.66;-2.04;-0.09;-14.71;8
239;INTB3;20.97;1.44;5.38;5.6;6
240;IRBR3;-4.33;-0.74;1.0;3.17;0
241;ITSA3;7.93;1.33;1.49;7.09;0
242;ITSA4;7.91;1.33;1.48;7.09;0
243;ITUB3;8.54;2.68;1.55;14.75;0
244;ITUB4;9.91;2.68;1.8;14.75;0
245;JALL3;8.56;1.17;2.23;4.51;0
246;JBSS3;5.07;7.6;1.96;19.61;0
247;JHSF3;4.34;1.34;0.9;6.47;0
248;JOPA3;17.3;1.56;0.52;51.76;0
249;JOPA4;22.43;1.56;0.68;51.76;0
250;JSLG3;8.35;0.86;1.53;4.7;0
251;KEPL3;14.33;3.0;1.9;22.64;0
252;KLBN11;8.87;2.69;4.67;5.11;6
253;KLBN3;10.32;0.54;5.43;1.02;6
254;KLBN4;8.5;0.54;4.47;1.02;6
255;KRSA3;0.0;0.0;2.37;1.61;0
256;LAME3;21.22;0.31;1.91;3.46;0
257;LAME4;20.99;0.31;1.89;3.46;0
258;LAVV3;5.43;0.99;0.82;6.55;0
259;LCAM3;13.92;1.82;2.69;9.38;0
260;LEVE3;7.22;4.18;2.25;13.4;0
261;LIGT3;5.27;2.04;0.46;23.49;0
262;LIPR3;29.46;2.18;3.65;17.56;6
263;LJQQ3;21.92;0.42;3.22;2.84;0
264;LLIS3;-0.06;-26.89;0.82;1.94;8
265;LOGG3;7.78;3.61;0.87;32.42;0
266;LOGN3;12.23;1.98;5.86;4.14;6
267;LPSB3;9.4;0.38;2.38;1.49;0
268;LREN3;44.13;0.57;2.64;9.61;0
269;LUPA3;1.64;3.32;1.19;4.57;0
270;LUXM4;28.08;2.91;4.15;19.69;6
271;LVTC3;0.0;0.0;1.48;9.53;0
272;LWSA3;13791.1;0.0;1.97;5.0;3
273;MAPT4;-114.93;-0.19;-3.35;-6.42;8
274;MATD3;0.0;0.0;3.69;4.01;6
275;MBLY3;-6.72;-0.86;0.94;6.17;0
276;MDIA3;13.34;1.66;1.09;20.34;0
277;MDNE3;7.0;0.9;0.5;12.52;0
278;MEAL3;-9.65;-0.27;0.65;4.04;0
279;MELK3;15.77;0.26;0.72;5.66;0
280;MERC3;160.17;0.16;1.82;13.76;0
281;MERC4;66.95;0.16;0.76;13.76;0
282;MGEL4;0.35;36.38;-0.27;-46.97;0
283;MGLU3;59.76;0.11;3.94;1.61;6
284;MILS3;23.34;0.26;1.43;4.31;0
285;MLAS3;0.0;0.0;1.3;4.77;0
286;MMXM3;-2.17;-6.46;-0.11;-129.88;8
287;MNDL3;2.51;15.79;-0.85;-46.53;8
288;MNPR3;5.05;1.21;-0.12;-50.84;8
289;MOAR3;8.21;50.52;3.85;107.93;6
290;MODL11;0.0;0.0;2.45;5.5;0
291;MOSI3;29.31;0.26;1.41;5.3;0
292;MOVI3;7.76;2.0;1.77;8.77;0
293;MRFG3;3.26;7.03;3.26;7.04;0
294;MRSA3B;15.3;2.53;2.66;14.55;0
295;MRSA5B;14.23;2.53;2.47;14.55;0
296;MRVE3;8.34;1.45;0.98;12.4;0
297;MSPA3;-9.34;-5.19;0.39;125.46;0
298;MTIG4;-0.49;-65.82;-0.21;-155.14;5
299;MTRE3;18.26;0.33;0.65;9.34;0
300;MTSA4;6.98;5.73;1.18;33.98;0
301;MULT3;28.86;0.75;2.06;10.59;0
302;MWET3;0.27;83.15;-0.96;-23.33;0
303;MWET4;0.2;83.15;-0.7;-23.33;0
304;MYPK3;6.72;2.04;0.52;26.5;0
305;NEOE3;4.44;3.53;0.8;19.65;0
306;NGRD3;31.72;0.09;1.39;1.98;0
307;NINJ3;0.0;0.0;0.7;5.8;0
308;NORD3;-91.85;-0.15;-0.65;-21.28;8
309;NTCO3;60.73;0.38;1.16;20.19;0
310;NUTR3;7.61;33.27;1.59;159.58;0
311;ODPV3;17.01;0.71;5.67;2.13;6
312;OFSA3;12.63;2.0;2.14;11.8;0
313;OIBR3;-1.22;-0.74;5.65;0.16;6
314;OIBR4;-2.16;-0.74;10.0;0.16;6
315;OMGE3;-32.03;-0.86;1.59;17.39;0
316;ONCO3;0.0;0.0;3.0;3.5;0
317;OPCT3;-22.32;-0.15;0.77;4.4;0
318;ORVR3;-31.81;-0.91;5.53;5.24;6
319;OSXB3;-0.06;-126.74;-0.0;-1652.35;5
320;PARD3;12.34;1.63;3.02;6.66;0
321;PATI3;4.91;13.84;1.85;36.71;0
322;PATI4;4.19;13.84;1.58;36.71;0
323;PCAR3;3.59;5.99;0.44;49.2;0
324;PDGR3;-0.2;-7.23;-0.02;-97.97;8
325;PDTC3;14.82;0.45;4.01;1.66;6
326;PEAB3;2.83;21.17;0.94;63.81;0
327;PEAB4;3.45;21.17;1.14;63.81;0
328;PETR3;3.59;10.35;1.31;28.29;0
329;PETR4;3.26;10.35;1.19;28.29;0
330;PETZ3;105.19;0.16;12.96;1.28;6
331;PFRM3;6.37;0.77;0.54;8.97;0
332;PGMN3;22.1;0.41;1.92;4.68;0
333;PINE4;-4.86;-0.33;0.31;5.21;8
334;PLAS3;-1.1;-9.18;-0.44;-23.05;8
335;PLPL3;4.55;0.77;2.18;1.61;0
336;PMAM3;-0.74;-10.65;-0.44;-18.06;8
337;PNVL3;23.63;0.52;1.81;6.85;0
338;POMO3;5.36;0.46;0.82;3.0;0
339;POMO4;6.33;0.46;0.97;3.0;0
340;PORT3;0.0;0.0;2.06;28.92;0
341;POSI3;3.99;2.17;1.03;8.37;0
342;POWE3;23.41;0.46;0.97;11.02;0
343;PRIO3;19.35;1.33;4.0;6.44;6
344;PRNR3;10.4;0.64;1.12;5.94;0
345;PSSA3;8.91;2.39;1.47;14.48;0
346;PTBL3;6.1;1.33;3.2;2.53;0
347;PTNT3;13.38;1.03;2.22;6.23;0
348;PTNT4;5.93;1.03;0.98;6.23;0
349;QUAL3;12.5;1.34;2.85;5.88;0
350;RADL3;49.56;0.45;7.75;2.88;6
351;RAIL3;55.52;0.29;1.96;8.2;0
352;RAIZ4;23.13;0.27;3.52;1.8;6
353;RANI3;5.98;1.0;1.6;3.72;0
354;RAPT3;3.6;3.14;1.47;7.69;0
355;RAPT4;3.53;3.14;1.45;7.69;0
356;RCSL4;-135.94;-0.01;-2.01;-0.58;8
357;RDNI3;21.12;0.44;0.65;14.26;0
358;RDOR3;66.13;0.72;6.7;7.11;6
359;RECV3;0.0;0.0;2.92;7.44;0
360;REDE3;9.45;0.71;3.8;1.76;6
361;RENT3;21.71;2.64;5.83;9.84;6
362;RNEW11;2.08;3.17;-0.29;-22.7;8
363;RNEW3;2.22;1.06;-0.31;-7.57;8
364;RNEW4;1.98;1.06;-0.28;-7.57;8
365;ROMI3;5.52;2.78;1.17;13.14;0
366;RPAD3;27.49;0.23;0.51;12.29;0
367;RPAD5;34.07;0.23;0.63;12.29;0
368;RPAD6;19.62;0.23;0.36;12.29;0
369;RPMG3;-0.76;-3.63;-0.06;-49.09;8
370;RRRP3;-39.51;-1.0;4.38;9.0;6
371;RSID3;0.81;9.75;-0.24;-32.77;8
372;RSUL4;8.77;8.43;6.4;11.55;6
373;SANB11;8.01;4.0;0.0;0.0;8
374;SANB3;7.48;2.0;0.0;0.0;8
375;SANB4;8.37;2.0;0.0;0.0;8
376;SAPR11;5.27;3.76;0.79;25.07;0
377;SAPR3;5.0;0.75;0.75;5.01;0
378;SAPR4;5.29;0.75;0.79;5.01;0
379;SBFG3;23.65;0.92;2.42;9.01;0
380;SCAR3;43.34;0.83;1.32;27.18;0
381;SEER3;8.31;1.32;0.97;11.34;0
382;SEQL3;1136.0;0.01;3.44;4.32;6
383;SGPS3;-2.53;-2.37;0.29;20.46;8
384;SHOW3;-2.21;-1.49;1.45;2.28;0
385;SHUL4;7.44;1.12;1.76;4.73;0
386;SIMH3;11.06;0.98;2.65;4.07;0
387;SLCE3;9.51;5.02;2.82;16.92;0
388;SLED3;-0.14;-114.95;-0.05;-305.71;5
389;SLED4;-0.07;-114.95;-0.03;-305.71;5
390;SMFT3;-15.88;-1.07;2.2;7.72;0
391;SMTO3;12.84;2.93;2.97;12.67;0
392;SNSY5;-0.34;-13.7;-0.02;-186.24;8
393;SOJA3;12.2;1.14;2.61;5.35;0
394;SOMA3;33.58;0.38;1.38;9.14;0
395;SOND5;14.23;2.47;1.43;24.62;0
396;SOND6;14.36;2.47;1.44;24.62;0
397;SQIA3;130.19;0.13;1.9;9.08;0
398;STBP3;34.16;0.2;2.6;2.62;0
399;SULA11;26.64;0.95;1.31;19.39;0
400;SULA3;27.11;0.32;1.33;6.46;0
401;SULA4;26.57;0.32;1.31;6.46;0
402;SUZB3;9.11;6.34;5.21;11.07;6
403;TAEE11;4.95;7.6;1.87;20.1;0
404;TAEE3;4.96;2.53;1.87;6.7;0
405;TAEE4;4.96;2.53;1.87;6.7;0
406;TASA3;3.65;5.99;4.3;5.1;6
407;TASA4;3.52;5.99;4.14;5.1;6
408;TCNO3;-17.86;-0.1;-19.59;-0.09;9
409;TCNO4;-12.84;-0.1;-14.09;-0.09;9
410;TCSA3;-1.7;-2.13;0.41;8.82;8
411;TECN3;14.91;0.16;0.59;4.12;0
412;TEKA3;-0.11;-239.89;-0.01;-3534.53;1
413;TEKA4;-0.04;-239.89;-0.0;-3534.53;1
414;TELB3;-17.72;-2.12;1.76;21.3;0
415;TELB4;-6.48;-2.12;0.64;21.3;0
416;TEND3;9.43;1.43;0.95;14.19;0
417;TFCO4;27.51;0.39;7.06;1.54;6
418;TGMA3;8.97;1.63;1.44;10.13;0
419;TIMS3;11.39;1.22;1.37;10.18;0
420;TKNO4;3.19;19.93;0.78;81.48;0
421;TOTS3;49.52;0.56;4.07;6.79;6
422;TPIS3;1.15;1.65;0.36;5.3;0
423;TRAD3;0.0;0.0;2.28;2.26;0
424;TRIS3;6.51;0.85;0.83;6.65;0
425;TRPL3;5.49;5.69;1.42;22.07;0
426;TRPL4;4.18;5.69;1.08;22.07;0
427;TTEN3;0.0;0.0;2.31;4.18;0
428;TUPY3;12.16;1.58;1.03;18.66;0
429;TXRX3;-21.54;-1.39;-0.41;-73.05;8
430;TXRX4;-5.02;-1.39;-0.1;-73.05;8
431;UCAS3;9.55;0.39;1.49;2.5;0
432;UNIP3;5.78;16.79;3.61;26.84;6
433;UNIP5;5.98;16.79;3.74;26.84;6
434;UNIP6;5.91;16.79;3.7;26.84;6
435;USIM3;1.99;7.24;0.83;17.36;0
436;USIM5;2.15;7.24;0.89;17.36;0
437;USIM6;2.48;7.24;1.03;17.36;0
438;VALE3;4.93;18.64;2.6;35.32;0
439;VAMO3;33.64;0.35;4.17;2.79;6
440;VBBR3;5.76;3.97;2.36;9.69;0
441;VIIA3;658.55;0.01;1.16;3.55;0
442;VITT3;21.32;0.7;4.7;3.17;6
443;VIVA3;22.1;1.12;4.35;5.69;6
444;VIVR3;-1.98;-0.56;-1.26;-0.87;8
445;VIVT3;17.21;2.9;1.22;41.01;0
446;VLID3;-34.68;-0.3;0.68;15.05;0
447;VULC3;7.31;1.17;1.65;5.19;0
448;VVEO3;0.0;0.0;2.26;7.59;0
449;WEGE3;35.88;0.82;9.72;3.04;6
450;WEST3;-10.82;-0.28;0.84;3.6;0
451;WHRL3;8.68;0.72;3.76;1.67;6
452;WHRL4;9.63;0.72;4.18;1.67;6
453;WIZS3;6.96;1.14;3.25;2.45;0
454;WLMM3;13.25;2.57;2.33;14.56;0
455;WLMM4;13.46;2.57;2.37;14.56;0
456;YDUQ3;50.5;0.42;1.96;10.83;0
